Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
SPCZ,357,0,0.00,0,0.00,26.40,357,0
MLN,353,0,0.00,0,0.00,17.81,353,0
BUFB,350,0,0.00,0,0.00,25.40,350,0
XDSQ,347,0,0.00,0,0.00,28.24,347,0
HYBL,345,0,0.00,0,0.00,27.61,345,0
FIBR,336,0,0.00,0,0.00,83.83,336,0
QMOM,327,0,0.00,0,0.00,45.58,327,0
MAGA,317,0,0.00,0,0.00,37.88,317,0
FRNW,313,0,0.00,0,0.00,21.12,313,0
OSCV,312,0,0.00,0,0.00,31.58,312,0
FFHG,311,0,0.00,0,0.00,32.64,311,0
UFEB,308,0,0.00,0,0.00,27.32,308,0
DINT,305,0,0.00,0,0.00,18.49,305,0
HYHG,304,0,0.00,0,0.00,60.27,304,0
XDQQ,301,0,0.00,0,0.00,24.78,301,0
FFTG,300,0,0.00,0,0.00,24.69,300,0
KCAL,300,0,0.00,0,0.00,23.42,300,0
KWT,300,0,0.00,0,0.00,31.34,300,0
PSMO,300,0,0.00,0,0.00,22.99,300,0
SANE,300,0,0.00,0,0.00,24.97,300,0
FFEB,294,0,0.00,0,0.00,38.88,294,0
BLDG,283,0,0.00,0,0.00,24.86,283,0
FFTI,279,0,0.00,0,0.00,20.55,279,0
TILT,279,0,0.00,0,0.00,163.76,279,0
CAOS,261,0,0.00,0,0.00,80.19,261,0
RPHS,260,0,0.00,0,0.00,8.66,260,0
PBTP,250,0,0.00,0,0.00,24.80,250,0
GHYG,249,0,0.00,0,0.00,42.13,249,0
NOCT,243,0,0.00,0,0.00,41.17,243,0
FPRO,232,0,0.00,0,0.00,20.34,232,0
ADME,229,0,0.00,0,0.00,35.41,229,0
IYLD,227,0,0.00,0,0.00,19.31,227,0
VFMV,222,0,0.00,0,0.00,99.74,222,0
BJUN,208,0,0.00,0,0.00,32.65,208,0
GLDB,206,0,0.00,0,0.00,20.20,206,0
GEMD,204,0,0.00,0,0.00,39.89,204,0
ESGG,202,0,0.00,0,0.00,137.87,202,0
MOTG,201,0,0.00,0,0.00,34.13,1,200
IMFL,200,0,0.00,0,0.00,23.81,200,0
LEAD,200,0,0.00,0,0.00,53.43,200,0
TFJL,200,0,0.00,0,0.00,20.37,200,0
HAUS,197,0,0.00,0,0.00,16.16,197,0
DSCF,195,0,0.00,0,0.00,21.81,195,0
TOKE,188,0,0.00,0,0.00,5.77,188,0
RESE,181,0,0.00,0,0.00,28.82,181,0
